ea_air_twisting_crunch	situp	-	GATE
ea_alternate_oblique_crunch	situp	-	GATE
ea_alternating_oblique_sit_ups	situp	-	GATE
ea_band_wrist_curl_single_arm	curl	-	GATE
ea_banded_feet_elevated_hip_thrusters	hinge	-	GATE
ea_barbell_feet_elevated_figure_four_glute_bridge	hinge	-	GATE
ea_barbell_feet_elevated_glute_bridge	hinge	-	GATE
ea_barbell_feet_elevated_single_leg_glute_bridge	hinge	-	GATE
ea_barbell_feet_elevated_staggered_glute_bridge	hinge	-	GATE
ea_barbell_glute_bridge	hinge	-	GATE
ea_barbell_glute_bridge_hands_on_bar	hinge	-	GATE
ea_barbell_hip_thrust	hinge	-	GATE
ea_barbell_kas_glute_bridge	hinge	-	GATE
ea_barbell_one_leg_hip_thrust	hinge	-	GATE
ea_barbell_side_step_up	lunge	-	GATE
ea_barbell_standing_back_wrist_curl	curl	-	GATE
ea_barbell_step_up_balance_on_box	lunge	-	GATE
ea_barbell_wrist_curl_on_knees	curl	-	GATE
ea_barbell_wrist_curl_wide_legs	curl	-	GATE
ea_biceps_leg_concentration_curl	curl	-	DRIFT
ea_bicycle_twisting_crunch	situp	-	GATE
ea_bodyweight_feet_elevated_figure_four_glute_bridge	hinge	-	GATE
ea_bodyweight_feet_elevated_staggered_glute_bridge	hinge	-	GATE
ea_bodyweight_step_up_on_step_box	lunge	-	GATE
ea_celebratory_hip_thrust	hinge	-	GATE
ea_chair_elevated_single_leg_glute_bridge	hinge	-	GATE
ea_chair_feet_elevated_glute_bridge	hinge	-	GATE
ea_chair_frog_feet_elevated_glute_bridge_bodyweight	hinge	-	GATE
ea_decline_bent_leg_reverse_crunch	situp	-	DRIFT
ea_decline_diamond_pike_push_up	pushup	-	DRIFT
ea_decline_levitating_sit_ups_bodyweight	situp	-	DRIFT
ea_decline_push_up	pushup	-	DRIFT
ea_decline_sit_up	situp	-	DRIFT
ea_donkey_calf_raise	calf_raise	-	DRIFT
ea_dumbbell_elbow_side_plank	pushup	-	SIDEPLK
ea_dumbbell_feet_elevated_figure_four_glute_bridge	hinge	-	GATE
ea_dumbbell_feet_elevated_glute_bridge	hinge	-	GATE
ea_dumbbell_feet_elevated_single_leg_glute_bridge	hinge	-	GATE
ea_dumbbell_feet_elevated_staggered_glute_bridge	hinge	-	GATE
ea_dumbbell_figure_four_glute_bridge	hinge	-	GATE
ea_dumbbell_glute_bridge	hinge	-	GATE
ea_dumbbell_hand_side_plank	pushup	-	SIDEPLK
ea_dumbbell_hip_thrust	hinge	-	GATE
ea_dumbbell_hip_thrust_version_2	hinge	-	GATE
ea_dumbbell_one_arm_reverse_wrist_curl	curl	-	GATE
ea_dumbbell_one_arm_wrist_curl	curl	-	GATE
ea_dumbbell_reverse_wrist_curl	curl	-	GATE
ea_dumbbell_side_plank_up_down	pushup	-	SIDEPLK
ea_dumbbell_side_plank_with_rear_fly	pushup	-	SIDEPLK
ea_dumbbell_single_leg_glute_bridge	hinge	-	GATE
ea_dumbbell_single_leg_hip_thrust	hinge	-	GATE
ea_dumbbell_single_leg_step_up	lunge	-	GATE
ea_dumbbell_staggered_glute_bridge	hinge	-	GATE
ea_dumbbell_staggered_hip_thrust	hinge	-	GATE
ea_dumbbell_standing_wrist_curl	curl	-	GATE
ea_dumbbell_step_up_with_knee_raise	lunge	-	GATE
ea_dumbbell_straight_arm_twisting_sit_up	situp	-	GATE
ea_glute_bridge_bodyweight	hinge	-	GATE
ea_glute_bridge_with_abduction_bodyweight	hinge	-	GATE
ea_hanging_oblique_crunches	situp	-	GATE
ea_hollow_hold	situp	-	GATE
ea_kettlebell_glute_bridge	hinge	-	GATE
ea_kettlebell_hip_thrusts	hinge	-	GATE
ea_kettlebell_single_leg_glute_bridge	hinge	-	GATE
ea_kettlebell_single_leg_glute_bridge_pullover	hinge	-	GATE
ea_kettlebell_single_leg_hip_thrust	hinge	-	GATE
ea_kettlebell_step_up	lunge	-	GATE
ea_kettlebell_wrist_curl	curl	-	GATE
ea_landmine_hollow_hold	situp	-	GATE
ea_oblique_crunch	situp	-	GATE
ea_plate_glute_bridge_to_chest_press	hinge	-	GATE
ea_plate_glute_bridge_to_pullover	hinge	-	GATE
ea_plate_hollow_hold	situp	-	GATE
ea_resistance_band_glute_bridge	hinge	-	GATE
ea_resistance_band_glute_bridge_abduction	hinge	-	GATE
ea_resistance_band_glute_bridge_version2	hinge	-	GATE
ea_resistance_band_hip_thrust_version_2	hinge	-	GATE
ea_resistance_band_hip_thrusts_on_knees	hinge	-	GATE
ea_resistance_band_one_leg_glute_bridge	hinge	-	GATE
ea_resistance_band_side_plank_glute_raise	pushup	-	SIDEPLK
ea_side_plank	pushup	-	SIDEPLK
ea_side_plank_with_hip_lift	pushup	-	SIDEPLK
ea_standing_oblique_crunch	situp	-	GATE
ea_step_up_on_chair_bodyweight	lunge	-	GATE
ea_wrist_curl_barbell	curl	-	GATE
ea_wrist_curl_dumbbell	curl	-	GATE
