"observation_id","source_photo_id","arm","image_path","expected_sha256"
"595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b:A","595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b","A","arm_a/20260730_135354.jpg","595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b"
"595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b:B","595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b","B","arm_b/20260730_135354.jpg","a87d0a99efb7b661136cdc77a30fb8a7e07a29a49dc4f7914fe759426c625b5e"
"9893defa8c6ffd54f2d8f487ee180370d09378fd515457e70cea9b30f06ec5c9:A","9893defa8c6ffd54f2d8f487ee180370d09378fd515457e70cea9b30f06ec5c9","A","arm_a/20260806_140007.jpg","9893defa8c6ffd54f2d8f487ee180370d09378fd515457e70cea9b30f06ec5c9"
"9893defa8c6ffd54f2d8f487ee180370d09378fd515457e70cea9b30f06ec5c9:B","9893defa8c6ffd54f2d8f487ee180370d09378fd515457e70cea9b30f06ec5c9","B","arm_b/20260806_140007.jpg","0f87a28c1af76f8d478d452ed44b1a755d5c5f5d6da29de89e0bf9e3d419f3f4"
"4b7436ffc8dfb1c1e5188ccf6d7dfed696cca84b45723b4cafc045d74749da88:A","4b7436ffc8dfb1c1e5188ccf6d7dfed696cca84b45723b4cafc045d74749da88","A","arm_a/20260730_135629.jpg","4b7436ffc8dfb1c1e5188ccf6d7dfed696cca84b45723b4cafc045d74749da88"
"4b7436ffc8dfb1c1e5188ccf6d7dfed696cca84b45723b4cafc045d74749da88:B","4b7436ffc8dfb1c1e5188ccf6d7dfed696cca84b45723b4cafc045d74749da88","B","arm_b/20260730_135629.jpg","909526314a29930f4594f5260d240e9ff9bd34c4c57f223d2d40166ffede809e"
"632846114722bfc1f0ac9d8a7f8727bc0574907e3896a58568842118014fe0ef:A","632846114722bfc1f0ac9d8a7f8727bc0574907e3896a58568842118014fe0ef","A","arm_a/20260810_131311.jpg","632846114722bfc1f0ac9d8a7f8727bc0574907e3896a58568842118014fe0ef"
"632846114722bfc1f0ac9d8a7f8727bc0574907e3896a58568842118014fe0ef:B","632846114722bfc1f0ac9d8a7f8727bc0574907e3896a58568842118014fe0ef","B","arm_b/20260810_131311.jpg","be32ef34579a322508740cdd57b13f11dcf810d8809f2b820302479fcb8c190c"
"aeb298659b9902b9a6a24af119f75fb3258a2a9013ab32f1db03c2af784cadec:A","aeb298659b9902b9a6a24af119f75fb3258a2a9013ab32f1db03c2af784cadec","A","arm_a/20260806_140016.jpg","aeb298659b9902b9a6a24af119f75fb3258a2a9013ab32f1db03c2af784cadec"
"aeb298659b9902b9a6a24af119f75fb3258a2a9013ab32f1db03c2af784cadec:B","aeb298659b9902b9a6a24af119f75fb3258a2a9013ab32f1db03c2af784cadec","B","arm_b/20260806_140016.jpg","7693d19db52ac8d6cc27004eae8b7808b2ddaaf0e46e9d63e40ecb81115a5f55"
"bd5744dfa5448dd1a30f28606743fcae70794b012371cebe35d7cb04d2172367:A","bd5744dfa5448dd1a30f28606743fcae70794b012371cebe35d7cb04d2172367","A","arm_a/20260730_141743.jpg","bd5744dfa5448dd1a30f28606743fcae70794b012371cebe35d7cb04d2172367"
"bd5744dfa5448dd1a30f28606743fcae70794b012371cebe35d7cb04d2172367:B","bd5744dfa5448dd1a30f28606743fcae70794b012371cebe35d7cb04d2172367","B","arm_b/20260730_141743.jpg","b7e3f3be712dd4bc1de416fc21de8c58a016c61878d94d857b1086fe4963592b"
"f092e69df82b8df6825e2c5127e1ce15b3d82c10a32245c18fbd36fa493e8743:A","f092e69df82b8df6825e2c5127e1ce15b3d82c10a32245c18fbd36fa493e8743","A","arm_a/20260810_131016.jpg","f092e69df82b8df6825e2c5127e1ce15b3d82c10a32245c18fbd36fa493e8743"
"f092e69df82b8df6825e2c5127e1ce15b3d82c10a32245c18fbd36fa493e8743:B","f092e69df82b8df6825e2c5127e1ce15b3d82c10a32245c18fbd36fa493e8743","B","arm_b/20260810_131016.jpg","d12d1a6e34701f6ffa78f5e1f348d0cf3418f1b4dbf681d5316f24014b2eccb5"
"0167bdf835825fe76e0f8b9d9894518be6d1a5ba6fbd920edb12308866026b22:A","0167bdf835825fe76e0f8b9d9894518be6d1a5ba6fbd920edb12308866026b22","A","arm_a/20260810_131129.jpg","0167bdf835825fe76e0f8b9d9894518be6d1a5ba6fbd920edb12308866026b22"
"0167bdf835825fe76e0f8b9d9894518be6d1a5ba6fbd920edb12308866026b22:B","0167bdf835825fe76e0f8b9d9894518be6d1a5ba6fbd920edb12308866026b22","B","arm_b/20260810_131129.jpg","bd24d1f7bfac43b6ce9cd8625aa55e10c05ecc183377fd1d802c6245096fde37"
"f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667:A","f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667","A","arm_a/20240409_142108.jpg","f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667"
"f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667:B","f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667","B","arm_b/20240409_142108.jpg","08c18a90b0e55a54035330102b3066ea88fe7afe915ddbbc5e0a5839bb2642db"
"6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03:A","6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03","A","arm_a/20260730_134401.jpg","6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03"
"6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03:B","6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03","B","arm_b/20260730_134401.jpg","e850d9ccf8161ca24a38c57ebc1cf1a15b761f4327fb87f51b124638e8d41989"
