"observation_id","source_photo_id","arm","image_path","expected_sha256"
"f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667:A","f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667","A","arm_a/20240409_142108.jpg","f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667"
"f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667:B","f110ce1d6c7e060a2664592dec4f42ee2128f4828c4762a269b57abf8d672667","B","arm_b/20240409_142108.jpg","08c18a90b0e55a54035330102b3066ea88fe7afe915ddbbc5e0a5839bb2642db"
"fea9f5611ab59fa34e78cadb5c9b2ade9f4383ac1f8e033faa213abddeee6d7e:A","fea9f5611ab59fa34e78cadb5c9b2ade9f4383ac1f8e033faa213abddeee6d7e","A","arm_a/20240409_142346.jpg","fea9f5611ab59fa34e78cadb5c9b2ade9f4383ac1f8e033faa213abddeee6d7e"
"fea9f5611ab59fa34e78cadb5c9b2ade9f4383ac1f8e033faa213abddeee6d7e:B","fea9f5611ab59fa34e78cadb5c9b2ade9f4383ac1f8e033faa213abddeee6d7e","B","arm_b/20240409_142346.jpg","74edc73a4eff37768c4eff2a0ac1cdc84ad5a865aa6855b07c47e88d11c99b9d"
"2cf6efffac4efa1651077976448dee9bf89a83e60df0462799756942d3df83bb:A","2cf6efffac4efa1651077976448dee9bf89a83e60df0462799756942d3df83bb","A","arm_a/20260518_140528.jpg","2cf6efffac4efa1651077976448dee9bf89a83e60df0462799756942d3df83bb"
"2cf6efffac4efa1651077976448dee9bf89a83e60df0462799756942d3df83bb:B","2cf6efffac4efa1651077976448dee9bf89a83e60df0462799756942d3df83bb","B","arm_b/20260518_140528.jpg","b96f6d8796583cb002b147388596fdd22774b63ac707872d4e6757c2e0e95962"
"0308c5340036a5ab5099f3856ce822494a1ba94af911e3ad4a4365d87cad203d:A","0308c5340036a5ab5099f3856ce822494a1ba94af911e3ad4a4365d87cad203d","A","arm_a/20260518_140616.jpg","0308c5340036a5ab5099f3856ce822494a1ba94af911e3ad4a4365d87cad203d"
"0308c5340036a5ab5099f3856ce822494a1ba94af911e3ad4a4365d87cad203d:B","0308c5340036a5ab5099f3856ce822494a1ba94af911e3ad4a4365d87cad203d","B","arm_b/20260518_140616.jpg","eaac004c070455976731e4bee3a780e615fb20f67ed34fdcf8b25ed237b0fdec"
"0b15a2bab5415ce5244f230e8a051fd08097a3c2c11236c1c5462597e5f902dc:A","0b15a2bab5415ce5244f230e8a051fd08097a3c2c11236c1c5462597e5f902dc","A","arm_a/20260706_142110.jpg","0b15a2bab5415ce5244f230e8a051fd08097a3c2c11236c1c5462597e5f902dc"
"0b15a2bab5415ce5244f230e8a051fd08097a3c2c11236c1c5462597e5f902dc:B","0b15a2bab5415ce5244f230e8a051fd08097a3c2c11236c1c5462597e5f902dc","B","arm_b/20260706_142110.jpg","2a1c1063172a4c8856b5bf50037bd6e999dbd8fc7d0d4375c9997d8430454480"
"6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03:A","6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03","A","arm_a/20260730_134401.jpg","6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03"
"6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03:B","6a17d6775d933399a23a34ad21f4d7d0922d0a50551f9986cd4742cf32968e03","B","arm_b/20260730_134401.jpg","e850d9ccf8161ca24a38c57ebc1cf1a15b761f4327fb87f51b124638e8d41989"
"65885a79982526bc16f70a457e5d2d0a647adc96422330b2ad656bd241218999:A","65885a79982526bc16f70a457e5d2d0a647adc96422330b2ad656bd241218999","A","arm_a/20260730_134404.jpg","65885a79982526bc16f70a457e5d2d0a647adc96422330b2ad656bd241218999"
"65885a79982526bc16f70a457e5d2d0a647adc96422330b2ad656bd241218999:B","65885a79982526bc16f70a457e5d2d0a647adc96422330b2ad656bd241218999","B","arm_b/20260730_134404.jpg","eb38affcf5c48ec14e526dac3f1c65df220f7b0a46747e51d480151506c0456b"
"b4ad4eeb8758153983a84571d6212ac752831cb8c7e78de5bf2347a3f48c73eb:A","b4ad4eeb8758153983a84571d6212ac752831cb8c7e78de5bf2347a3f48c73eb","A","arm_a/20260730_135318.jpg","b4ad4eeb8758153983a84571d6212ac752831cb8c7e78de5bf2347a3f48c73eb"
"b4ad4eeb8758153983a84571d6212ac752831cb8c7e78de5bf2347a3f48c73eb:B","b4ad4eeb8758153983a84571d6212ac752831cb8c7e78de5bf2347a3f48c73eb","B","arm_b/20260730_135318.jpg","7e5959206fbe642835a86597d74365fc29507d1abd5c6116edb24ca303f24636"
"39230173660c0e3c991c7ea1181f6c422923d60c34d81dafb5333d4065716095:A","39230173660c0e3c991c7ea1181f6c422923d60c34d81dafb5333d4065716095","A","arm_a/20260730_135336.jpg","39230173660c0e3c991c7ea1181f6c422923d60c34d81dafb5333d4065716095"
"39230173660c0e3c991c7ea1181f6c422923d60c34d81dafb5333d4065716095:B","39230173660c0e3c991c7ea1181f6c422923d60c34d81dafb5333d4065716095","B","arm_b/20260730_135336.jpg","fd518825eb3cf857a05093ebc66e8132d81d96f3acaa9153c68c93dd8f0f84d3"
"08c2e5f15bfaadcb6b0d71c80d09ed41730d6d5d9d333b1e582ad044d9f076bf:A","08c2e5f15bfaadcb6b0d71c80d09ed41730d6d5d9d333b1e582ad044d9f076bf","A","arm_a/20260730_135340.jpg","08c2e5f15bfaadcb6b0d71c80d09ed41730d6d5d9d333b1e582ad044d9f076bf"
"08c2e5f15bfaadcb6b0d71c80d09ed41730d6d5d9d333b1e582ad044d9f076bf:B","08c2e5f15bfaadcb6b0d71c80d09ed41730d6d5d9d333b1e582ad044d9f076bf","B","arm_b/20260730_135340.jpg","499e67b348a8408dd743ed6d90b8dcc0b691377fd3ad38274ca1d62df8858a4b"
"eb94c15f754ae9500ad63253db6d7cbd8acee7dcf4a4a665c756386a35c3ba07:A","eb94c15f754ae9500ad63253db6d7cbd8acee7dcf4a4a665c756386a35c3ba07","A","arm_a/20260730_135347.jpg","eb94c15f754ae9500ad63253db6d7cbd8acee7dcf4a4a665c756386a35c3ba07"
"eb94c15f754ae9500ad63253db6d7cbd8acee7dcf4a4a665c756386a35c3ba07:B","eb94c15f754ae9500ad63253db6d7cbd8acee7dcf4a4a665c756386a35c3ba07","B","arm_b/20260730_135347.jpg","b38b4ca851910e77bd2dbbaa624e25ef526ea84de3e953360fe0a0b045e6e380"
"595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b:A","595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b","A","arm_a/20260730_135354.jpg","595a80c4da71cb6c737030f396a976df06c2912a0c97ee3ab436d28026da849b"
